reviewId,userName,userImage,content,score,reviewCreatedVersion,at,replyContent,repliedAt,matched_aspects,Aplikasi,Pengiriman,Produk,Harga,Pembayaran,Layanan Pelanggan (CS),Penjual,text_length
31ad33fd-6d00-45d6-b06d-7f69a956c7c0,Aliva Olina,https://play-lh.googleusercontent.com/a/ACg8ocKqncH38Ad4lggYFiKp6N7KTLK7ku6Z4mePInMAlkfX6uAp-Q=mo,barang2x bagus datang tepat waktu cuma ongkos kirim papua mahal,5,3.59.43,2025-10-21 9:38:00,Hi kak Aliva Olina maaf ya terkait keluhan kamu. Shopee akan selalu berusaha memperbaiki dan meningkatkan pelayanan untuk penggunanya supaya lebih baik lagi kedepannya. Jika ada pertanyaan bisa chat aku kembali ya kak. Terima kasih telah menghubungi Shopee. Sehat selalu kak,2025-10-21 10:47:55,"Pengiriman,Produk,Harga",0,P,P,N,0,0,0,70
85ed5a52-eabe-4f20-b849-ee7d9e184277,arum galih,https://play-lh.googleusercontent.com/a/ACg8ocLZsh0tV2Xz-egChLK85j2T1fP_v8mwT_RQZrLZJjdGWtFHHQ=mo,kirim lama pol,1,,2025-10-21 9:37:38,Hai kak arum galih maaf ya bikin ga nyaman terkait kendala pesanan kamu. Aku bantu info mohon menunggu sampai estimasi maksimal pesanan tiba dan perhatikan masa garansi pesanan kamu. Supaya bisa dibantu cek mohon infokan username dan nomor pesanan via DM IG @shopee_id / @shopeecare_id. Terima kasih ^AL,2025-10-21 10:29:48,Pengiriman,0,N,0,0,0,0,0,20
b2052463-4a1b-4315-bfa2-4fd139b7136b,Sandi Rama,https://play-lh.googleusercontent.com/a/ACg8ocKcQsH4LwHc9Kbj1C8hQ5m_Pu9O0fkDzM2-pARvCv_iDQ0ZCA=mo,bagus aplikasi manfaat sulit cari barang langsung,5,3.60.24,2025-10-21 9:36:32,"Hi Kak Sandi Rama, makasih bgt ya review dan bintangnya. Aku suka bgt klo Kakak senang belanja di Shopee dan jadi semangat aku buat kasih pelayanan yg terbaik. Klo ada pertanyaan terkait Shopee jangan sungkan DM IG aku di @Shopee_id / @Shopeecare_id ya, sehat selalu ^AT",2025-10-21 10:07:54,Aplikasi,P,0,0,0,0,0,0,74
61843fd3-cfe2-4fa2-8199-b3f27db98e7c,Nar Tiwen,https://play-lh.googleusercontent.com/a/ACg8ocJOhN6hrccDQYhtrlBHTpeQXUsWncYB1XgDses8G4xApsGWPg=mo,padahal cari lokasi sama toko indramayu pesan orang indramayu niat biar cepat eh paket malah puter jakarta dulu hari hari tadi kalau begini beli jakarta biar jalan hari sampai,2,,2025-10-21 9:35:22,"Hai kak Nar Tiwen
maaf yaa udh buat ga nyaman terkait kendala yg kakak alami. agar aku bisa bantu cek boleh infoin Username dan Nomor pesanan kakak melalui via  DM ke sosmed kita @Shopee_id/@Shopeecare_id ya. Have a nice day ^DM",2025-10-21 10:11:01,Pengiriman,0,N,0,0,0,0,0,236
c760828f-b897-4dfb-aa52-6225d2cfe7c2,Darpin Er,https://play-lh.googleusercontent.com/a/ACg8ocJQiIPaE_IBEsmVwzSKfbhQ0c9cstzmwQ9h28AMuenuXJU9xQ=mo,kasih bintang lima cara masuk mudah tidak banyak iklan suka sekali shopee banyak barng cantik cekout mudah banget baru kali iklan bagus banget terimah kasih shopee,5,,2025-10-21 9:35:01,"Hi Kak Darpin Er , makasih ya buat bintang nya. aku happy banget nih dapet bintang 5 dari kakak. o iya, jangan lupa buat pantengin terus sosmed resmi shopee biar dapetin info terupdate nya ya kak. kalo ada kendala terkait shopee bisa chat aku di DM IG @shopee_id. bahagia selalu ^YT",2025-10-21 10:10:56,"Aplikasi,Produk",P,0,P,0,0,0,0,257
44311a81-b68a-4852-8be2-d64ad9909ff5,Anindrisekuy,https://play-lh.googleusercontent.com/a/ACg8ocIdudnAscjDZORPRiYRa_5jR8tzjEsmIRvH_raXo3bBKN9XPQ=mo,banyak promo tarik ongkos kirim murah cocok belanja kaum dang mending bisa kembali barang tidak sesuai mantap pokok,5,3.59.43,2025-10-21 9:33:47,hai kak Anindrisekuy  thanks buat 5 bintang dan reviewnya. semoga kakak selalu happy belanja kebutuhan dan bertransaksi di shopee. pantau terus aplikasi dan sosmed shopee biar kakak nggak ketinggalan promo yg ada di shopee. kalau ada kendala terkait shopee bisa langsung DM IG shopee_id. Happy shopping^ME,2025-10-21 10:11:02,Harga,0,0,0,P,0,0,0,161
e979909b-d172-4858-8427-4db16c3eb378,hidayat dayat,https://play-lh.googleusercontent.com/a/ACg8ocKAs9uwj6R57PENbV_Ldjb2cFmB-UMUGbK3_G4RFhtyrj1P2Q=mo,aplikasi bagus mes barang butuh,5,,2025-10-21 9:33:10,"Hi Kak hidayat dayat, makasih ya untuk reviewnya.

Kuy kepoin sosial media resmi shopee biar Kakak tau update promo yang saat ini tersedia hehe. Jangan sungkan chat aku di dm IG @Shopee_id ya kalo kamu ada pertanyaan atau kendala seputar shopee. ^CX",2025-10-21 10:11:42,Aplikasi,P,0,0,0,0,0,0,59
22528a90-ddcd-4466-aa00-738d0ca3507b,Bagus Sudiana,https://play-lh.googleusercontent.com/a/ACg8ocLwUsPHZ6_8AEW0j0brXiF63NsWT4G0WkpdR0ejNG4GcSnfQA=mo,shopee aplikasi jual produk2 barang murah depercaya konsumen,5,3.40.11,2025-10-21 9:32:13,"Halo Kak Bagus Sudiana , yuhuu
Shopee emang juara ya, Kak! Selain murah dan mudah, pastinya juga terpercaya. Yuk, belanja lagi biar makin seru! Jangan lupa pakai voucher gratis ongkirnya ya, supaya belanjanya makin hemat dan menyenangkan.
Semoga harinya menyenangkan, Kak. ^AL",2025-10-21 10:08:36,Harga,0,0,0,P,0,0,0,84
40a861fd-d7e1-4008-a65f-fc2408bed1c7,yuli anda,https://play-lh.googleusercontent.com/a-/ALV-UjVdvYD6MyqeMdm7evqKUZkSjLm2RdRVPp0ENb-2jfF6yrKE0pw,masih banyak toko roko online shopee tidak tanggung jawab banyak pesan pesan konsumen kirim tidak sesuai skripsi alias banyak tipu curang,4,3.59.43,2025-10-21 9:31:15,"Hai kak yuli anda, maaf ya udah buat kamu ngga nyaman karena kendala penipuan pesanan yg kamu alami. Biar bisa aku bantu pengecekan, kamu bisa infoin username dan no pesanan kamu ke DM Social Media kita @Shopee_id / @Shopeecare_id ya Kak. Semoga kendala km dapat segera terselesaikan yaa kak. Sehat selalu^CN",2025-10-21 10:10:20,Penjual,0,0,0,0,0,0,N,175
225746a8-abac-4947-bf84-1fe9da3600b4,Oki Fredian Sahrizal,https://play-lh.googleusercontent.com/a/ACg8ocKSK5KqxqiyN8K7MCbdic2X9NioBUIBsY7h_rf9VOYYFSBRGw=mo,aplikasi e-commerce lengkap baik layan ekspedisi spx masih buruk terkadang kirim sering lama tidak sesuai jadwal kurir spx sering tunda nunda waktu kirim paket beli rugi beli jual jadi pihak shopee benah dulu sistem manajemen ekspedisi spx buruk sering kritik beli,5,3.56.29,2025-10-21 9:30:35,"Hi kak Oki Fredian Sahrizal, maaf ya udah buat kecewa. Shopee selalu memberikan pelayanan yg terbaik untuk semua pengguna. Agar bisa aku bantu pengecekan kendalanya, kakak bisa infoin ke aku no pesanan dan username di DM @shopee_id / @shopeecare_id ditunggu ya kak, Sehat selalu ^CP",2025-10-21 10:08:05,"Aplikasi,Pengiriman",P,N,0,0,0,0,0,361
fbba3507-9847-426a-b51f-110c72ae1e09,Yasim,https://play-lh.googleusercontent.com/a/ACg8ocJ6V7U_eFn9d39G8n4b6A0Ccni5HDE3NWD3ZntvMXCqmGhsIg=mo,aplikasi bikin naik darah pesan paket batal terus sama pihak shopee,1,3.60.25,2025-10-21 9:26:53,"Hai kak Yasim, maaf ya udah bikin kamu ngga nyaman karena kendala yang kakak alami. Agar aku bisa bantu cek, boleh infoin username dan nomor pesanan yg kendala kakak ke DM X @ShopeeID atau @ShopeeCare_id. Aku tunggu ^AT",2025-10-21 10:11:20,Aplikasi,N,0,0,0,0,0,0,74
6886a31a-049f-4ddc-929e-6b46f7261f78,meily herawati,https://play-lh.googleusercontent.com/a/ACg8ocJe_YaZHrc-W8jrphMXdMXbZZrHJkP-VPQqmplg5y9yjXZ6R_w=mo,mudah cari barang butuh,5,3.56.29,2025-10-21 9:26:06,"Hai kak meily herawati
makasih buat rating bintang 5 dan feedbacknya. Wahhh aku seneng banget dengernya. Tetep setia sama Shopee ya kak. Shopee bakal ngasih banyak kejutan buat Shobat Shopee. Kalau ada kendala terkait aplikasi shopee kamu boleh banget hubungi aku di DM Sosmed kita @Shopee_id / @shopeecare_id ya. Have a nice day ^DM",2025-10-21 10:10:01,Aplikasi,P,0,0,0,0,0,0,43
