reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
58a08e3f-e5d6-44a5-8602-ff002bf3b96c,Stefani ananda dewi,https://play-lh.googleusercontent.com/a/ACg8ocK0zlO1h_WItGeYSTs7QMdQPIhR8M6B5BTrqIzclZ8OOoOTag=mo,aplikasi shopee ini sangat bagus karena. bisa mempermudah kita jika ingin belanja namun malas keluar rumah dan gratis ongkir lagi pokoknya bagus banget,5,0,,2025-10-18 13:01:17,"/Hai kak Stefani ananda dewi , makasih ya untuk bintang 5 nya. semoga kakak betah dan setia belanja di shopee. jangan lupa juga cek promo sebelum belanja dan gunain voucher gratis ongkirnya ya biar belanja kamu makin menyenangkan. kalau ada pertanyaan atau kendala terkait shopee, bisa langsung chat aku ya di DM IG shopeecare_id. have a nice day ^YT",2025-10-18 14:30:18
0002f206-aedf-4ee4-8dd1-9fdaff4ef8af,Dian Widie,https://play-lh.googleusercontent.com/a-/ALV-UjVQLMiynxT1mAX4ZaTE-tMyMdViTVmFlPJsprNAFbcbvk6yZaWKnw,suka belanja di shopee.. terpercaya dan pengembalian dana yang mudah apabila barang tidak sesuai diskripsi..,5,0,3.59.43,2025-10-18 13:00:57,"Hai kak Dian , makasih ya buat review bintang 5 nya, yuk cek updatean dari sosmed resminya shopee dan aplikasi shopee biar gak ketinggalan promo-promo menarik lainnya. Kalo ada kendala/pertanyaan lainnya bisa DM ke IG @shopee_id atau @shopeecare_id. Sehat selalu ^UD",2025-10-18 14:28:55
19769655-a8e9-4a94-a441-8d315a2adc5b,MuhammadFadhil Muwaffaq,https://play-lh.googleusercontent.com/a/ACg8ocJpKBaBzXrbRgc0puNjXbhmCXjVNh6ebT5Unjoqgg4O7nUo3w=mo,sangat buruk untuk jasa pengiriman shopee spx. pesanan datang tidak sesuai estimasi. dan bahkan sampai lebih 4 hari. aku udah sabar dan memberikan toleransi jika ada keterlambatan 1 hari.. tapi ini malah lebih dari 1 hari.... bahkan sampai ditunda sampai 3 hari..,1,0,3.59.43,2025-10-18 13:00:34,"Hai kak MuhammadFadhil Muwaffaq, maaf ya udah buat kamu ngga nyaman karena kendala pesananyg kamu alami. Biar bisa aku bantu pengecekan, kamu bisa infoin username dan no pesanan kamu ke DM Social Media kita @Shopee_id / @Shopeecare_id ya Kak. Semoga kendala km dapat segera terselesaikan yaa kak. Sehat selalu^CN",2025-10-18 14:33:29
c241c4df-5418-4a52-9c36-8e5de1ef3661,Nadya Naomi,https://play-lh.googleusercontent.com/a/ACg8ocLcp1QXbMAXxmcJ41MuRUf44mWtmS-LratYLJyyGY5Upe1URg=mo,"Shopee tdk melindungi pembeli dan komplain pengembalian barang dan dana dan sekarang pengembalian barang dikenakan biaya alasan kuota habis, biaya pengbalian lebih mahal dr biaya pembelian, helloo kalau penjual krm brg palsu atau jelek, 2x rugi dong pembeli.... parah banget nih Shopee",1,0,3.59.43,2025-10-18 12:59:19,"Hi kak Nadya Naomi, maaf ya kak udah buat kakak ngga nyaman nih terkait kendala pesanan kakak. agar bisa aku bisa bantu kakak mohon bisa infoin ke aku Username dan Nomor Pesanan kakak di DM @shopee_id Ditunggu ya kak. Stay healthy ^NO",2025-10-18 13:18:42
fdd27f34-96eb-4c58-b94c-7cc1132816a6,Wahyu Yudi,https://play-lh.googleusercontent.com/a/ACg8ocLnDTSu6tIQy9ZnGgaUuwGcWyZMofW7D8vdC-m7et7HrAiWOw=mo,ok banget terima kasih,5,0,3.59.43,2025-10-18 12:57:31,"Hai kak Wahyu , makasih ya buat review bintang 5 nya, yuk cek updatean dari sosmed resminya shopee dan aplikasi shopee biar gak ketinggalan promo-promo menarik lainnya. Kalo ada kendala/pertanyaan lainnya bisa DM ke IG @shopee_id atau @shopeecare_id. Sehat selalu ^UD",2025-10-18 13:16:31
28604646-f710-401b-b725-844c2b80ff0b,Krisna Adek,https://play-lh.googleusercontent.com/a/ACg8ocJqOU4XFAsdPHROUcF3IbyQptdKplxK8KbqqEKaNKHlacpv1Q=mo,sngt puas,5,0,3.59.43,2025-10-18 12:56:32,"Hi Kak Krisna Adek , makasih ya buat bintang nya. aku happy banget nih dapet bintang 5 dari kakak. o iya, jangan lupa buat pantengin terus sosmed resmi shopee biar dapetin info terupdate nya ya kak. kalo ada kendala terkait shopee bisa chat aku di DM IG @shopee_id. bahagia selalu ^YT",2025-10-18 13:17:35
98f5a2a8-d47f-4b63-a27a-cbe504eac686,Alkomar Busu,https://play-lh.googleusercontent.com/a/ACg8ocLRNx8xi2mYcLrjvcYt2JRVjtprb7cPvwDG7qlbdVK-iSKYHA=mo,barang nya belum sampai tapi sudah di kembalikan mana datangnya lama lagi,1,0,3.40.11,2025-10-18 12:56:18,"Hi kak Alkomar Busu, maaf ya sudah buat km nggak nyaman terkait kendalanya. Agar bisa aku bantu pengecekan lebih lanjut, yuk infoin ke aku detail kendala kamu melalui DM Instagram @shopee_id ya kak. Sehat selalu yaa kak ^FH",2025-10-18 13:25:07
eca1ce5c-90d2-4472-8bd4-9fa76554da63,La muru,https://play-lh.googleusercontent.com/a/ACg8ocKGa5ux4K_VNCiATwOqdCUCyXf0pQW-h2aiGCwqKC9iNtYwUg=mo,baik,5,0,3.59.41,2025-10-18 12:56:07,"Hi kak La muru, makasih ya buat bintang 5 dan feedbacknya. Semoga Shopee semakin sukses & selalu bisa memberikan kepuasan untuk semua pengguna dengan penawaran terbaik dan promo menarik ya kak, biar kamu ngga ketinggalan info terupdate, pantau terus aplikasi Shopee dan sosmed resmi Shopee @Shopee_id / @ShopeeCare. Sehat selalu ^CJ",2025-10-18 13:17:55
cfc76858-1b25-42d3-939a-3c24048d1c40,Istiadhi Bagus,https://play-lh.googleusercontent.com/a-/ALV-UjVCByS1xMP9-GKNEt4hp2dxykQ35PT8B4BNFgop_YSBQno-tRKH,Nice....toppp ga ngecewain,5,0,3.59.43,2025-10-18 12:55:29,"Haii kak Istiadhi Bagus,
Makasih yaa buat review bintang 5 nya, yuk pantengin terus updatean dari sosmed resminya shopee dan aplikasi shopee yaa. Kalo ada kendala/pertanyaan lainnya bisa DM ke Social Media kita Instagram : @shopee_id dan @shopeecare_id X / twitter : @shopeeID dan @shopeecare . Sehat selalu ^ON",2025-08-20 13:13:48
fc35074c-c09a-4fa6-83ec-7e732c964e17,Winda Sari,https://play-lh.googleusercontent.com/a/ACg8ocJljdLYNUNRPY4KHsabfNaLknheIMBf0xtfm9RwxIzP6h2_tQ=mo,ngga bisa cod karna alasan yang ga jelas,1,0,3.59.41,2025-10-18 12:53:56,"Hai kak Winda Sari, maaf ya udah bikin kakak nggak nyaman terkait kendala yg kakak alami. supaya aku bisa bntu cek, kakak boleh infoin detail dan SS kendala kakak,username shopee. di DM IG @shopee_id ya kak. stay safe ^NO",2025-10-18 13:17:59
